buurt_idx,mean_distance,std_distance,mean_pct_100m,mean_pct_250m,mean_pct_500m,total_addresses,n_observations,percentage_met_herkomstland_buiten_europa,personenautos_per_huishouden,bevolkingsdichtheid_inwoners_per_km2,percentage_koopwoningen,buurtcode,gemiddeld_inkomen_per_inwoner,gemiddeld_inkomen_per_ontvanger,gemiddelde_woz_waarde,pct_huishoudens_laag_inkomen,pct_personen_laagste_40,pct_personen_hoogste_20,buurtnaam
42,967.0719081998282,162.72227785685592,0.24080209091019214,1.2387879643925803,9.1104328649962,3202,7889,17.0,0.8,13543.0,,BU05181953,39.2,49.2,441.0,1.9,28.8,34.9,Vruchtenbuurt
43,990.0230868281193,190.51970902181247,0.09119107525593406,1.173589490250282,6.148832941384387,1314,7889,19.0,0.7,5285.0,,BU05181983,36.4,43.9,370.0,2.2,30.2,29.1,Eykenduinen
44,237.71854209521854,62.524789478116645,11.549358444890968,58.77752751958463,96.63319798364671,3794,7889,30.0,0.5,16798.0,,BU05182054,30.2,36.9,283.0,4.6,38.5,18.3,Heesterbuurt
45,143.71924565840823,46.876937602926375,32.97821589912736,91.22867756932416,99.56158714613395,6025,7889,34.0,0.5,17873.0,,BU05182055,33.7,40.4,316.0,5.6,36.1,22.2,Valkenboskwartier
46,242.98829576945823,72.21609902370882,12.408979953485956,58.91492380003717,94.60013415152717,3491,7889,43.0,0.5,13549.0,,BU05182110,31.8,38.4,293.0,6.7,39.2,19.6,Rond de Energiecentrale
47,177.43452363596725,61.335551707034696,23.042741262093337,80.06096636795509,98.94249915501977,4047,7889,29.0,0.5,18414.0,,BU05182144,37.9,45.6,396.0,6.2,34.7,28.1,Koningsplein e.o.
48,205.16962474264193,61.78827691171366,16.544251206155803,71.14449898770015,98.105519247152,7160,7889,36.0,0.4,15745.0,,BU05182245,39.2,46.8,393.0,6.7,38.5,27.2,Zeeheldenkwartier
49,173.35002612111433,83.39520432966488,23.91907172848889,82.36174563176115,98.02775301751568,1187,7889,31.0,0.6,5256.0,,BU05182347,61.0,73.0,530.0,5.1,27.4,39.5,Willemspark
50,275.3491084948119,69.68938528826314,32.88321894862648,67.70557557539432,82.63978173345649,420,7889,28.0,0.7,397.0,,BU05182449,51.5,56.4,271.0,6.3,28.7,33.9,Haagse Bos
51,1378.4456399266305,410.125804312706,0.0,0.0,0.0,2982,7889,47.0,0.7,8705.0,,BU05182561,29.3,36.3,251.0,6.4,44.7,16.6,Landen
52,498.76072058988314,80.48416291719467,0.0,0.06015859994531033,51.93154866540546,1590,7889,46.0,0.6,4765.0,,BU05182567,31.3,39.1,254.0,6.0,41.4,20.0,Kampen
53,1517.3506322472892,307.5545637460937,0.0,0.0,0.3777882308005001,377,7889,23.0,1.2,878.0,,BU05182568,58.8,78.0,863.0,2.0,29.7,50.1,Marlot
54,790.9202778528356,350.749812453216,1.3940067927023532,10.586370425739611,30.839874913915107,3880,7889,42.0,0.6,7114.0,,BU05182569,32.7,39.6,255.0,4.6,38.4,20.2,Burgen en Horsten
