identificatie,lat,lon,gebruiksdoel,activity_function_count,oppervlakte_m2
0518010000369077,52.082966460723604,4.262464586494484,"winkelfunctie,woonfunctie",1,119
0518010000365264,52.05405965134478,4.238082827017597,winkelfunctie,1,139
0518010000371711,52.07608952967316,4.282816668637257,winkelfunctie,1,85
0518010000372578,52.07414200270625,4.2838832888635805,"winkelfunctie,woonfunctie",1,108
0518010000370032,52.07826077880523,4.3117244801941075,winkelfunctie,1,116
0518010000365274,52.08098164122166,4.2864192501547915,bijeenkomstfunctie,1,147
0518010000369095,52.08117272519216,4.297208175991062,"winkelfunctie,woonfunctie",1,90
0518010000365278,52.0737248102658,4.263719095014259,"winkelfunctie,woonfunctie",1,119
0518010000369111,52.05475130025879,4.249373879823923,winkelfunctie,1,50
0518010000366313,52.070636165663736,4.282904708851767,"winkelfunctie,woonfunctie",1,105
0518010000372596,52.08383940627773,4.2872361714404414,"kantoorfunctie,woonfunctie",1,296
0518010000369127,52.06109639433852,4.333373334083023,winkelfunctie,1,81
0518010000371767,52.08035279881996,4.307662150125089,kantoorfunctie,1,154
0518010000366347,52.07432027257842,4.2764249643091405,"winkelfunctie,woonfunctie",1,113
0518010000372624,52.06237846965469,4.336727046386153,onderwijsfunctie,1,101
0518010000371799,52.080217449306595,4.307794910644739,"winkelfunctie,woonfunctie",1,309
0518010000371819,52.08216912092587,4.342701402597837,"winkelfunctie,woonfunctie",1,104
0518010000372680,52.0851874228267,4.312726228480265,winkelfunctie,1,31
0518010000369193,52.05631176230192,4.302666723320714,"winkelfunctie,woonfunctie",1,96
0518010000371835,52.079038977216996,4.30725489557787,winkelfunctie,1,36
0518010000365373,52.112215033232815,4.292450555776349,"winkelfunctie,woonfunctie",1,151
0518010000365375,52.07348925985529,4.307888617713759,"winkelfunctie,woonfunctie",1,117
0518010000368362,52.073163466259096,4.310677208290372,winkelfunctie,1,60
0518010000367411,52.06449102603301,4.327035617712617,"winkelfunctie,woonfunctie",1,63
0518010000372724,52.0868725134994,4.34185628000398,"winkelfunctie,woonfunctie",1,93
0518010000370202,52.081749890730855,4.337979786753706,"winkelfunctie,woonfunctie",1,132
0518010000372775,52.0848563523107,4.29841052508643,kantoorfunctie,1,88
0518010000369303,52.03418948398179,4.263547158606006,onderwijsfunctie,1,488
0518010000371951,52.07472709246253,4.31112389795131,"kantoorfunctie,woonfunctie",1,135
0518010000375513,52.06169494235677,4.305932093987645,winkelfunctie,1,93
0518010000376522,52.079190045855064,4.269821260966133,"winkelfunctie,woonfunctie",1,162
0518010000371201,52.06182174595219,4.333327845816195,bijeenkomstfunctie,1,210
0518010000369337,52.061516124314565,4.330413661969963,"winkelfunctie,woonfunctie",1,63
0518010000371967,52.07813031787123,4.267776281894463,"winkelfunctie,woonfunctie",1,194
0518010000370270,52.08702154426914,4.339409823211548,winkelfunctie,1,80
0518010000376552,52.07635471246074,4.309274571361197,winkelfunctie,1,104
0518010000370278,52.08264149578976,4.284536871358072,"kantoorfunctie,woonfunctie",1,242
0518010000369369,52.06712082304913,4.255678452995433,"winkelfunctie,woonfunctie",1,72
