artifact_type,provider,city,date,path,size_bytes,modified_at_utc
other,,,2026-03-01,raw_staging/2026/03/01/00/ns_ov_fiets_fietsData_202603010015.tar.gz,14358,2026-02-28T23:15:42Z
other,,,2026-03-01,raw_staging/2026/03/01/00/ns_ov_fiets_fietsData_202603010016.tar.gz,14358,2026-02-28T23:16:42Z
other,,,2026-03-01,raw_staging/2026/03/01/00/ns_ov_fiets_fietsData_202603010017.tar.gz,14353,2026-02-28T23:17:42Z
other,,,2026-03-01,raw_staging/2026/03/01/00/ns_ov_fiets_fietsData_202603010018.tar.gz,14353,2026-02-28T23:18:42Z
other,,,2026-03-01,raw_staging/2026/03/01/00/ns_ov_fiets_fietsData_202603010019.tar.gz,14355,2026-02-28T23:19:42Z
other,,,2026-03-01,raw_staging/2026/03/01/00/ns_ov_fiets_fietsData_202603010020.tar.gz,14355,2026-02-28T23:20:42Z
other,,,2026-03-01,raw_staging/2026/03/01/00/ns_ov_fiets_fietsData_202603010021.tar.gz,14352,2026-02-28T23:21:42Z
other,,,2026-03-01,raw_staging/2026/03/01/00/ns_ov_fiets_fietsData_202603010022.tar.gz,14353,2026-02-28T23:22:42Z
other,,,2026-03-01,raw_staging/2026/03/01/00/ns_ov_fiets_fietsData_202603010023.tar.gz,14353,2026-02-28T23:23:42Z
other,,,2026-03-01,raw_staging/2026/03/01/00/ns_ov_fiets_fietsData_202603010024.tar.gz,14351,2026-02-28T23:24:42Z
other,,,2026-03-01,raw_staging/2026/03/01/00/ns_ov_fiets_fietsData_202603010025.tar.gz,14351,2026-02-28T23:25:42Z
other,,,2026-03-01,raw_staging/2026/03/01/00/ns_ov_fiets_fietsData_202603010026.tar.gz,14349,2026-02-28T23:26:42Z
other,,,2026-03-01,raw_staging/2026/03/01/00/ns_ov_fiets_fietsData_202603010027.tar.gz,14349,2026-02-28T23:27:42Z
other,,,2026-03-01,raw_staging/2026/03/01/00/ns_ov_fiets_fietsData_202603010028.tar.gz,14375,2026-02-28T23:28:42Z
other,,,2026-03-01,raw_staging/2026/03/01/00/ns_ov_fiets_fietsData_202603010029.tar.gz,14375,2026-02-28T23:29:42Z
other,,,2026-03-01,raw_staging/2026/03/01/00/ns_ov_fiets_fietsData_202603010030.tar.gz,14348,2026-02-28T23:30:42Z
other,,,2026-03-01,raw_staging/2026/03/01/00/ns_ov_fiets_fietsData_202603010031.tar.gz,14348,2026-02-28T23:31:42Z
other,,,2026-03-01,raw_staging/2026/03/01/00/ns_ov_fiets_fietsData_202603010032.tar.gz,14349,2026-02-28T23:32:42Z
other,,,2026-03-01,raw_staging/2026/03/01/00/ns_ov_fiets_fietsData_202603010033.tar.gz,14349,2026-02-28T23:33:42Z
other,,,2026-03-01,raw_staging/2026/03/01/00/ns_ov_fiets_fietsData_202603010034.tar.gz,14348,2026-02-28T23:34:42Z
other,,,2026-03-01,raw_staging/2026/03/01/00/ns_ov_fiets_fietsData_202603010035.tar.gz,14349,2026-02-28T23:35:42Z
other,,,2026-03-01,raw_staging/2026/03/01/00/ns_ov_fiets_fietsData_202603010036.tar.gz,14349,2026-02-28T23:36:42Z
other,,,2026-03-01,raw_staging/2026/03/01/00/ns_ov_fiets_fietsData_202603010037.tar.gz,14355,2026-02-28T23:37:42Z
other,,,2026-03-01,raw_staging/2026/03/01/00/ns_ov_fiets_fietsData_202603010038.tar.gz,14355,2026-02-28T23:38:42Z
other,,,2026-03-01,raw_staging/2026/03/01/00/ns_ov_fiets_fietsData_202603010039.tar.gz,14352,2026-02-28T23:39:42Z
other,,,2026-03-01,raw_staging/2026/03/01/00/ns_ov_fiets_fietsData_202603010040.tar.gz,14352,2026-02-28T23:40:42Z
other,,,2026-03-01,raw_staging/2026/03/01/00/ns_ov_fiets_fietsData_202603010041.tar.gz,14347,2026-02-28T23:41:42Z
other,,,2026-03-01,raw_staging/2026/03/01/00/ns_ov_fiets_fietsData_202603010042.tar.gz,14347,2026-02-28T23:42:42Z
other,,,2026-03-01,raw_staging/2026/03/01/00/ns_ov_fiets_fietsData_202603010043.tar.gz,14353,2026-02-28T23:43:42Z
other,,,2026-03-01,raw_staging/2026/03/01/00/ns_ov_fiets_fietsData_202603010044.tar.gz,14353,2026-02-28T23:44:42Z
other,,,2026-03-01,raw_staging/2026/03/01/00/ns_ov_fiets_fietsData_202603010045.tar.gz,14374,2026-02-28T23:45:42Z
other,,,2026-03-01,raw_staging/2026/03/01/00/ns_ov_fiets_fietsData_202603010046.tar.gz,14376,2026-02-28T23:46:42Z
other,,,2026-03-01,raw_staging/2026/03/01/00/ns_ov_fiets_fietsData_202603010047.tar.gz,14354,2026-02-28T23:47:42Z
other,,,2026-03-01,raw_staging/2026/03/01/00/ns_ov_fiets_fietsData_202603010048.tar.gz,14350,2026-02-28T23:48:42Z
